id,cuisine,ingredients
9197,chinese,"['carrots', 'pepper', 'garlic', 'onions', 'pork', 'sauce', 'ginger', 'oil', 'cabbage', 'corn', 'molasses']"
1299,mexican,"['sausages', 'flour', 'eggs', 'cheese']"
40429,italian,"['salt', 'water', 'cheese', 'butter', 'corn']"
34419,american,"['potatoes', 'sage', 'seasoning', 'pepper', 'garlic', 'oil', 'celery', 'sauce', 'shrimp', 'onions', 'parsley', 'chicken', 'flour', 'bacon']"
10276,mexican,"['oregano', 'pepper', 'garlic', 'salt', 'onion', 'paprika', 'cumin', 'chili']"
33465,thai,"['chicken', 'tamarind', 'shallots', 'garlic', 'peanuts', 'sugar', 'turnips', 'sauce', 'tofu', 'chile', 'papaya', 'beansprouts', 'lime', 'pepper', 'oil', 'chives', 'eggs']"
39250,italian,"['basil', 'oregano', 'tomatoes', 'onions', 'garlic', 'sugar', 'oil']"
37963,american,"['sage', 'tomatoes', 'seasoning', 'pepper', 'shrimp', 'sauce', 'parsley', 'rice', 'oil']"
20051,italian,"['bread', 'leaves', 'pepper', 'garlic', 'salt', 'shrimp', 'oil', 'beans']"
17610,american,"['peas', 'chips', 'onions', 'garlic', 'pepper', 'cheese', 'chili']"
37405,american,"['leaves', 'rib', 'pepper', 'garlic', 'salt', 'chile', 'sugar', 'onions', 'stock', 'cider', 'oil', 'greens', 'ham']"
28302,italian,"['rolls', 'seasoning', 'cheese', 'giardiniera', 'pepperoni', 'salami', 'butter']"
32304,mexican,"['tortillas', 'pepper', 'onions', 'lettuce', 'garlic', 'sauce', 'cream', 'cheese', 'oil', 'chicken', 'beans']"
36341,indian,"['fillets', 'shallots', 'oil', 'salt', 'sauce', 'cumin', 'ginger', 'curry', 'serrano', 'cilantro']"
29369,mexican,"['tomatoes', 'pepper', 'oil', 'salt', 'lettuce', 'onion', 'chili', 'chicken', 'vinegar', 'avocado', 'cilantro']"
27564,chinese,"['orange', 'sugar', 'water', 'frosting', 'cake', 'oil', 'eggs']"
18515,french,"['fruit', 'salt', 'sugar', 'water', 'oil', 'fennel']"
3335,american,"['onions', 'sugar', 'buttermilk', 'oil', 'bacon', 'corn', 'flour']"
4499,american,"['seasoning', 'crawfish', 'garlic', 'salt', 'cheese', 'butter', 'oil']"
4906,american,"['lemon', 'pepper', 'salt', 'sugar', 'mayonaise', 'vinegar']"
5767,japanese,"['sirloin', 'onions', 'noodles', 'onion', 'sugar', 'water', 'sauce', 'mirin', 'oil', 'cabbage', 'sake', 'shiitake']"
30748,american,"['pepper', 'sauce', 'cheese', 'cream', 'grits', 'chicken', 'jack', 'eggs']"
35930,italian,"['basil', 'wine', 'tomatoes', 'leaves', 'mussels', 'pepper', 'garlic', 'salt', 'onion', 'linguine', 'parsley', 'oil']"
44902,american,"['oil', 'salt', 'sugar', 'buttermilk', 'honey', 'soda', 'corn', 'flour', 'eggs']"
31119,italian,"['fillets', 'wine', 'pesto', 'lemon']"
47028,japanese,"['walnuts', 'salt', 'sugar', 'milk', 'butter', 'flour', 'matcha', 'eggs']"
38112,indian,"['potatoes', 'dal', 'salt', 'fenugreek', 'rice', 'oil']"
2646,italian,"['pesto', 'crust', 'tomatoes', 'cheese']"
5206,british,"['potatoes', 'pepper', 'salt', 'leeks', 'cream', 'milk', 'oil']"
38233,thai,"['chicken', 'pepper', 'garlic', 'sugar', 'sauce', 'oil']"
39267,thai,"['spareribs', 'garlic', 'lemongrass', 'sauce', 'sugar', 'water', 'rice', 'milk', 'ginger', 'sherry', 'oil']"
11913,indian,"['chicken', 'cilantro', 'tomatoes', 'pepper', 'garlic', 'oil', 'onions', 'water', 'masa', 'turmeric', 'cumin', 'ginger', 'ghee']"
70,italian,"['tomatoes', 'pappardelle', 'pepper', 'garlic', 'onions', 'pork', 'salt', 'rosemary', 'oil']"
43928,thai,"['basil', 'pepper', 'oil', 'eggplant', 'onions', 'tofu', 'milk', 'curry']"
8530,korean,"['base', 'steak', 'carrots', 'garlic', 'sugar', 'sauce', 'scallions', 'rice', 'beansprouts', 'oil', 'seeds', 'shiitake']"
275,french,"['yolk', 'sugar', 'milk', 'vanilla', 'corn']"
43769,french,"['syrup', 'pumpkin', 'gingersnap', 'orange', 'pecans', 'cheese', 'nutmeg', 'cinnamon']"
49111,american,"['pepper', 'salt', 'sugar', 'vinegar', 'beans', 'bacon']"
11886,spanish,"['cheese', 'membrillo', 'butter', 'mustard', 'ham', 'eggs', 'sourdough']"
45839,indian,"['spinach', 'onions', 'chili', 'flour', 'flaxseed', 'carrots', 'sauce', 'buns', 'chickpeas', 'rum', 'lemon', 'garlic', 'scallions', 'cumin', 'oil', 'greens', 'pepper', 'salt', 'tahini', 'Sriracha', 'curry', 'cilantro']"
24568,italian,"['bread', 'basil', 'tomatoes', 'pepper', 'onions', 'garlic', 'oil', 'vinegar']"
8820,italian,"['sage', 'pepper', 'garlic', 'salt', 'cheese', 'honey', 'oil', 'pasta']"
29061,japanese,"['asparagus', 'steak', 'onions', 'sauce', 'oil', 'shiitake']"
2107,mexican,"['tomatoes', 'onion', 'chili', 'avocado', 'cilantro']"
22825,american,"['sage', 'okra', 'seasoning', 'watercress', 'lemon', 'chuck', 'pecans', 'pepper', 'garlic', 'onions', 'sugar', 'salt', 'cheese', 'mayonaise', 'oil', 'ham']"
13758,american,"['sugar', 'milk', 'vanilla', 'butter', 'flour', 'eggs']"
6886,french,"['bread', 'watercress', 'Madeira', 'salt', 'cream', 'sherry', 'persimmon']"
14874,indian,"['potatoes', 'coriander', 'garlic', 'salt', 'sugar', 'fenugreek', 'scallions', 'cumin', 'lime', 'chili', 'tumeric', 'ginger', 'oil', 'mustard', 'amchur', 'ramps', 'cilantro']"
43399,indian,"['coriander', 'pepper', 'cumin', 'cardamom', 'cinnamon']"
38254,italian,"['tomatoes', 'spinach', 'wheat', 'garlic', 'onion', 'mushrooms', 'oil', 'asiago']"
41596,italian,"['chocolate', 'rum', 'sugar', 'chestnuts', 'cream', 'mascarpone', 'milk', 'flour', 'eggs']"
33989,indian,"['tomatoes', 'spinach', 'garlic', 'salt', 'water', 'shrimp', 'naan']"
17004,korean,"['barley', 'water']"
4969,spanish,"['potatoes', 'seasoning', 'pepper', 'onions', 'oil', 'bacon', 'ham', 'eggs']"
31831,italian,"['potatoes', 'flour', 'salt', 'nutmeg']"
46648,american,"['sirloin', 'steak', 'pepper', 'salt', 'buttermilk', 'milk', 'oil', 'flour']"
36888,american,"['shortening', 'salt', 'sugar', 'milk', 'flour']"
34471,greek,"['onions', 'pork', 'salt', 'fat', 'parsley', 'vinegar']"
25164,mexican,"['sugar', 'cream', 'milk', 'corn', 'espresso', 'cinnamon']"
39600,mexican,"['oregano', 'cilantro', 'tomatillos', 'radishes', 'oil', 'garlic', 'salt', 'onion', 'pepitas', 'epazote', 'lime', 'chicken', 'avocado', 'hominy']"
46357,american,"['fillets', 'pepper', 'garlic', 'salt', 'buttermilk', 'thyme', 'oil', 'corn', 'flour', 'eggs']"
46905,indian,"['potatoes', 'coriander', 'oil', 'onions', 'salt', 'water', 'scallions', 'chili', 'rice', 'milk', 'ginger', 'cumin', 'masa', 'cauliflower', 'cilantro']"
8753,italian,"['orange', 'pepper', 'salt', 'olives', 'oil', 'fennel']"
37337,italian,"['basil', 'garlic', 'salt', 'mustard', 'vinegar', 'corn']"
17636,italian,"['seasoning', 'spinach', 'carrots', 'pepper', 'onion', 'sauce', 'cheese', 'oil', 'toast']"
8997,japanese,"['seasoning', 'soda', 'pepper', 'garlic', 'salt', 'prawns', 'oil', 'flour']"
28851,italian,"['pepper', 'noodles', 'dressing', 'cheese', 'milk', 'chicken']"
4635,greek,"['oregano', 'lemon', 'pork', 'garlic', 'oil', 'vinegar']"
7782,korean,"['steak', 'tortillas', 'onions', 'garlic', 'salt', 'chile', 'sugar', 'sauce', 'lime', 'oil', 'cabbage']"
8031,indian,"['barley', 'curry', 'almonds', 'onions', 'garlic', 'salt', 'pepper', 'parsley', 'oil', 'raisins']"
49434,mexican,"['chocolate', 'marshmallows', 'cinnamon']"
31318,american,"['potatoes', 'seasoning', 'rum', 'pepper', 'celery', 'cod', 'onion', 'salt', 'cheese', 'water', 'milk', 'butter', 'mustard', 'flour']"
31027,british,"['rum', 'orange', 'lemon', 'margarine', 'salt', 'sugar', 'mace', 'currant', 'oil', 'raisins', 'flour', 'cinnamon', 'eggs', 'nutmeg']"
47095,korean,"['red', 'onions', 'pork', 'noodles', 'sugar', 'water', 'sauce', 'salt', 'corn']"
4574,chinese,"['carrots', 'pepper', 'garlic', 'pork', 'sugar', 'sauce', 'salt', 'shiitake', 'rice', 'ginger', 'oil', 'cabbage', 'corn']"
19757,mexican,"['tomatoes', 'quinoa', 'garlic', 'salt', 'broth', 'chili', 'lime', 'oil', 'corn', 'beans', 'cilantro']"
35570,american,"['okra', 'pepper', 'salt', 'butter', 'cilantro']"
44812,chinese,"['orange', 'onions', 'garlic', 'salt', 'anise', 'sauce', 'water', 'ice', 'sugar', 'duck', 'ginger']"
18624,british,"['salt', 'sugar', 'cheese', 'milk', 'oil', 'flour', 'eggs']"
9406,chinese,"['pepper', 'garlic', 'oil', 'sugar', 'sauce', 'salt', 'rice', 'cucumber', 'butter', 'chicken', 'cabbage', 'ginger']"
35132,british,"['potatoes', 'crust', 'pepper', 'salt', 'onions', 'sausages', 'parsley', 'stock', 'oil', 'bacon']"
33071,mexican,"['cloves', 'piloncillo', 'hibiscus', 'water', 'sugar', 'allspice', 'nutmeg', 'cinnamon']"
8321,italian,"['basil', 'oregano', 'pepper', 'garlic', 'salt', 'parsley', 'rosemary', 'oil']"
20955,italian,"['chocolate', 'gelatin', 'beans', 'sugar', 'water', 'cream', 'mascarpone', 'cake', 'butter', 'espresso', 'eggs']"
45776,italian,"['basil', 'peas', 'wine', 'pinenuts', 'carrots', 'asparagus', 'onion', 'salt', 'cheese', 'rice', 'butter', 'oil', 'squash', 'zucchini']"
336,mexican,"['seasoning', 'tortillas', 'salsa', 'water', 'cheese', 'cream', 'chicken', 'beef']"
25751,japanese,"['rum', 'steak', 'pepper', 'salt', 'oil', 'flour', 'eggs']"
793,spanish,"['chorizo', 'rum', 'lemon', 'juice', 'pepper', 'garlic', 'shrimp', 'lime', 'oil', 'cilantro']"
34367,chinese,"['shallots', 'pork', 'salt', 'sugar', 'water', 'sauce', 'berries', 'oysters', 'rice', 'daikon', 'oil']"
7406,mexican,"['tortillas', 'salsa', 'cheese', 'cream', 'oil', 'beans']"
7473,british,"['fruit', 'sugar', 'pastry', 'ice', 'currant', 'butter']"
7532,indian,"['potatoes', 'coriander', 'parsnips', 'salt', 'sugar', 'masa', 'cumin', 'oil', 'mustard', 'cilantro']"
5924,thai,"['basil', 'chicken', 'oil', 'garlic', 'salt', 'onion', 'sauce', 'chili', 'Sriracha', 'curry', 'beans']"
5802,american,"['seasoning', 'pepper', 'onion', 'mushrooms', 'shrimp', 'paprika', 'cheese', 'parsley', 'milk', 'butter', 'cauliflower']"
41078,mexican,"['cream', 'beans', 'sauce', 'cheese']"
20665,spanish,"['yolk', 'sugar', 'cornflour', 'milk', 'cinnamon']"
39471,french,"['asparagus', 'pepper', 'onions', 'salt', 'cheese', 'bacon', 'eggs']"
9595,italian,"['basil', 'tomatoes', 'spinach', 'lemon', 'pepper', 'cheese', 'oil', 'beans', 'capers']"
27869,indian,"['quinoa', 'curry', 'celery', 'onion', 'paprika', 'apples', 'milk', 'chicken']"
44776,british,"['salt', 'milk', 'lard', 'flour', 'eggs']"
17771,spanish,"['basil', 'tomatoes', 'vinegar', 'pepper', 'onions', 'salt', 'olives', 'oil', 'raisins']"
43970,italian,"['sage', 'wine', 'tomatoes', 'pepper', 'garlic', 'onion', 'cheese', 'oil', 'pasta']"
27165,korean,"['chicken', 'onions', 'sauce', 'oil', 'eggs']"
11190,indian,"['potatoes', 'spinach', 'carrots', 'lentils', 'onion', 'water', 'fat', 'lime', 'stock', 'ginger', 'rice', 'curry']"
21872,mexican,"['oregano', 'cilantro', 'chips', 'radishes', 'pepper', 'garlic', 'salt', 'oil', 'onions', 'stock', 'lime', 'chicken', 'cabbage', 'avocado', 'hominy']"
29853,mexican,['sugar']
1154,american,"['topping', 'chocolate', 'rum', 'sugar', 'cheese', 'milk', 'butter']"
9069,french,"['oregano', 'beans', 'salt', 'kalamata', 'vinegar', 'fennel', 'capers']"
46975,american,"['chicken', 'tomatoes', 'pepper', 'celery', 'salt', 'garlic', 'shrimp', 'onions', 'parsley', 'rice', 'oil', 'kielbasa', 'ham']"
4892,indian,"['capsicum', 'tomatoes', 'lemon', 'carrots', 'dal', 'onions', 'garlic', 'salt', 'oil', 'mango', 'cilantro']"
21467,chinese,"['gari', 'onions', 'garlic', 'mushrooms', 'sauce', 'tofu', 'mirin', 'rice', 'ginger', 'oil']"
20919,italian,"['basil', 'pasta', 'sauce', 'cheese']"
42013,italian,"['semolina', 'tomatoes', 'leaves', 'carrots', 'pepper', 'onions', 'celery', 'salt', 'water', 'garlic', 'parsley', 'chickpeas', 'oil']"
17821,italian,"['chocolate', 'sugar', 'water', 'mascarpone', 'fat', 'cake', 'vanilla', 'milk', 'cocoa', 'espresso']"
44138,american,"['chicken', 'pepper', 'garlic', 'onion', 'salt', 'water', 'buttermilk', 'oil', 'corn', 'flour', 'eggs']"
5980,greek,"['figs', 'gelatin', 'orange', 'zinfandel', 'lemon', 'anise', 'sugar', 'cream', 'honey', 'milk', 'clove', 'cinnamon']"
41961,japanese,"['cilantro', 'chuck', 'pepper', 'garlic', 'onions', 'salt', 'sauce', 'anise', 'mirin', 'stock', 'daikon', 'ginger', 'oil', 'corn', 'flour', 'shiitake']"
27008,american,"['seasoning', 'coleslaw', 'fillets', 'corn']"
31867,italian,"['basil', 'oregano', 'tomatoes', 'pepper', 'garlic', 'sugar']"
34248,korean,"['kiwi', 'pepper', 'garlic', 'pork', 'sugar', 'sauce', 'salt', 'chili', 'honey', 'ginger', 'oil']"
13792,mexican,"['tortillas', 'chard', 'oil', 'salt', 'garlic', 'onions', 'pepper', 'salsa', 'chicken']"
38502,indian,"['coriander', 'oil', 'salt', 'sauce', 'prawns', 'tumeric', 'chili', 'cumin', 'masa']"
7023,italian,"['wine', 'tomatoes', 'garlic', 'salt', 'mushrooms', 'rosemary', 'oil', 'veal', 'flour']"
7783,mexican,"['garlic', 'sauce', 'water', 'cumin', 'chili', 'oil', 'pasta']"
2472,korean,"['garlic', 'salt', 'water', 'sauce', 'oil', 'beef', 'wakame']"
45193,chinese,"['carrots', 'sugar', 'sauce', 'shrimp', 'scallions', 'Sriracha', 'ginger', 'oil', 'vinegar', 'greens']"
7501,french,"['tomatoes', 'lemon', 'fillets', 'oil', 'pepper', 'salt', 'garlic', 'lettuce', 'onion', 'crust', 'thyme', 'olives', 'chicken', 'eggs']"
34930,chinese,"['carrots', 'pepper', 'oil', 'salt', 'scallions', 'milk', 'ginger', 'curry', 'beef', 'flour', 'coconut']"
42967,spanish,"['saffron', 'peas', 'chorizo', 'tomatoes', 'onions', 'garlic', 'oil', 'pepper', 'shrimp', 'clams', 'salt', 'rice', 'chicken', 'flour']"
14080,chinese,"['peas', 'pepper', 'garlic', 'sugar', 'sauce', 'shrimp', 'stock', 'rice', 'ginger', 'oil', 'corn']"
45352,spanish,"['spinach', 'vinegar', 'pepper', 'onion', 'sugar', 'paprika', 'salt', 'oil', 'mustard', 'bacon']"
46205,japanese,"['peas', 'coriander', 'salt', 'sugar', 'water', 'ghee', 'chili', 'cumin', 'stuffing', 'oil', 'flour', 'cardamom']"
47427,mexican,"['bread', 'tomatoes', 'pepper', 'garlic', 'eggplant', 'salt', 'lime', 'butter', 'oil', 'cilantro']"
40064,french,"['potatoes', 'pepper', 'salt', 'cream', 'cheese']"
9010,japanese,"['carrots', 'onions', 'broth', 'mushrooms', 'tofu', 'udon', 'ginger', 'miso', 'sake']"
18611,mexican,"['tomatoes', 'jalape', 'tortillas', 'oil', 'garlic', 'salt', 'pepper', 'onions', 'cream', 'cheese', 'chili', 'lime', 'chicken', 'cilantro']"
35124,italian,"['fontina', 'sage', 'broccoli', 'rum', 'pepper', 'garlic', 'salt', 'cheese', 'milk', 'oil', 'flour', 'eggs']"
16334,american,"['wine', 'carrots', 'crust', 'buttermilk', 'chicken', 'herbs', 'corn']"
32035,italian,"['seasoning', 'spinach', 'pepper', 'salt', 'sauce', 'cheese', 'oil', 'shells', 'eggs']"
16810,italian,"['basil', 'oregano', 'wine', 'tomatoes', 'chicken', 'fettucine', 'onions', 'garlic', 'mushrooms', 'shrimp', 'cheese', 'parsley', 'oil', 'corn']"
3641,chinese,"['chicken', 'onions', 'peanuts', 'garlic', 'pepper', 'sauce', 'sugar', 'stock', 'rice', 'ginger', 'oil', 'vinegar', 'corn']"
43374,mexican,"['oregano', 'tortillas', 'condiments', 'salsa', 'garlic', 'salt', 'onion', 'water', 'sauce', 'pepper', 'pork', 'chili', 'cumin', 'milk', 'guacamole', 'cabbage', 'avocado']"
9112,indian,"['saffron', 'almonds', 'pistachios', 'sugar', 'rice', 'milk']"
14970,korean,"['chicken', 'garlic', 'sauce', 'honey', 'rice', 'ginger', 'oil', 'corn', 'flour']"
41396,mexican,"['tomatoes', 'chiles', 'chipotle', 'pepper', 'oil', 'salt', 'chile', 'sauce', 'ancho', 'stock', 'drumstick', 'chicken', 'corn', 'cilantro']"
4748,mexican,"['cilantro', 'seasoning', 'rib', 'salt', 'sugar', 'sauce', 'cheese', 'beer', 'Sriracha', 'lime', 'chili', 'oil', 'avocado']"
41833,japanese,"['seaweed', 'dashi', 'onions', 'water', 'tofu', 'miso']"
18031,greek,"['yoghurt', 'dill', 'kefalotyri', 'pepper', 'salt', 'onions', 'myzithra', 'cheese', 'oil', 'phyllo', 'eggs']"
29734,mexican,"['peas', 'chips', 'garlic', 'onion', 'salt', 'cheese', 'lime', 'Sriracha', 'oil', 'cilantro']"
26415,american,"['okra', 'rum', 'salt', 'buttermilk', 'oil', 'flour', 'eggs']"
29801,chinese,"['salt', 'sugar', 'oil', 'meat']"
24351,british,"['cabbage', 'potatoes', 'pepper', 'salt']"
8480,japanese,"['oil', 'starch', 'sauce', 'ginger', 'chicken', 'sake']"
27023,italian,"['chocolate', 'orange', 'salt', 'sugar', 'water', 'nuts', 'cream', 'cheese', 'vanilla', 'flour', 'cinnamon', 'eggs']"
10425,mexican,"['tomatoes', 'onion', 'salt', 'water', 'serrano', 'cilantro']"
37188,british,"['oats', 'cherries', 'salt', 'sugar', 'water', 'hazelnuts', 'oil', 'cinnamon']"
24338,greek,"['spinach', 'mint', 'lamb', 'salt', 'onion', 'paprika', 'cheese', 'oil', 'vinegar', 'ham', 'cinnamon']"
3457,american,"['sage', 'tomatoes', 'pepper', 'celery', 'beans']"
1355,japanese,"['gari', 'wasabi', 'garlic', 'sugar', 'sauce', 'scallions', 'rice', 'ginger', 'seeds', 'salmon']"
40738,italian,"['wine', 'rib', 'pepper', 'garlic', 'salt', 'mushrooms', 'water', 'onions', 'thyme', 'oil', 'beef', 'flour']"
42380,american,"['tomatoes', 'seasoning', 'lemon', 'shallots', 'garlic', 'salt', 'paprika', 'mayonaise', 'shrimp', 'water', 'buttermilk', 'oil', 'mustard', 'horseradish']"
16857,american,"['lemon', 'pepper', 'shallots', 'salt', 'buttermilk', 'apples', 'butter', 'oil', 'greens', 'ham']"
2923,american,"['seasoning', 'onions', 'oil', 'corn', 'beans']"
7528,italian,"['tomatoes', 'pepper', 'garlic', 'salt', 'cheese', 'parsley', 'olives', 'oil', 'cauliflower', 'pasta', 'capers']"
15990,indian,"['yoghurt', 'coriander', 'garlic', 'salt', 'sugar', 'water', 'kalonji', 'yeast', 'oil', 'flour']"
27615,chinese,"['oil', 'garlic', 'salt', 'mushrooms', 'sauce', 'water', 'rice', 'chicken', 'corn', 'vegetables']"
26061,japanese,"['onions', 'sauce', 'tofu', 'oil', 'corn']"
23053,mexican,"['chicken', 'seasoning', 'quinoa', 'pepper', 'salsa', 'salt', 'onions', 'garlic', 'cheese', 'chili', 'oil', 'beans']"
5090,mexican,"['tomatillos', 'salt', 'onion', 'chili', 'lime', 'cilantro']"
36862,french,"['leaves', 'eggs', 'salt', 'sugar', 'cheese', 'apples', 'raisins', 'cinnamon', 'pinenuts']"
873,mexican,"['tomatoes', 'pepper', 'garlic', 'onion', 'chili', 'lime', 'cumin', 'cilantro']"
23726,mexican,"['seasoning', 'onions', 'garlic', 'onion', 'water', 'cheese', 'cream', 'sauce', 'chili', 'lime', 'olives', 'butter', 'chicken', 'flour']"
48576,british,"['potatoes', 'tomatoes', 'soda', 'leaves', 'carrots', 'steak', 'pepper', 'onions', 'salt', 'sugar', 'water', 'buttermilk', 'stock', 'rosemary', 'butter', 'oil', 'flour']"
25118,chinese,"['onions', 'garlic', 'pork', 'water', 'sauce', 'ginger', 'oil', 'cabbage']"
17586,mexican,"['bread', 'chorizo', 'cheese', 'beans']"
22678,greek,"['bread', 'oregano', 'wine', 'tomatoes', 'dill', 'mint', 'pepper', 'garlic', 'salt', 'lamb', 'onion', 'cucumber', 'oil']"
428,korean,"['kale', 'sauce', 'water', 'oil']"
6745,mexican,"['tortillas', 'chipotle', 'rib', 'salsa', 'garlic', 'onion', 'water', 'beer', 'lime', 'cumin', 'oil', 'guajillo', 'cilantro']"
31009,spanish,"['saffron', 'rum', 'lemon', 'spinach', 'pepper', 'garlic', 'onion', 'salt', 'water', 'cumin', 'chickpeas', 'parsley', 'sherry', 'oil']"
20983,italian,"['tomatoes', 'seasoning', 'beans', 'chard', 'pepper', 'onion', 'garlic', 'broth', 'cheese', 'salt', 'oil', 'squash']"
19572,american,"['shortening', 'salt', 'buttermilk', 'honey', 'milk', 'butter', 'flour', 'eggs']"
15273,italian,"['lemon', 'pepper', 'oil', 'salt', 'parsley', 'chicken', 'vinegar', 'capers']"
14198,mexican,"['oil', 'pepper', 'salt', 'chili']"
18643,french,"['syrup', 'margarine', 'sugar', 'milk', 'vanilla', 'corn', 'eggs']"
17816,mexican,"['pepper', 'onions', 'salt', 'cheese', 'cream', 'chicken', 'beans']"
46893,french,"['pears', 'salt', 'sugar', 'cream', 'cake', 'pastry']"
21375,mexican,"['tomatoes', 'pepper', 'onions', 'salt', 'garlic', 'chili', 'rice', 'lime', 'oil', 'beans', 'flour', 'cilantro']"
42833,mexican,"['seasoning', 'tomatoes', 'garlic', 'sauce', 'cheese', 'chicken', 'flour', 'cilantro']"
5328,italian,"['pepper', 'salt', 'mushrooms', 'tarragon', 'cheese', 'cream', 'parsley', 'oil', 'beans', 'eggs']"
17188,mexican,"['pasta', 'pepper', 'onions', 'onion', 'salt', 'lime', 'chickpeas', 'oil', 'corn', 'beans', 'cilantro']"
19622,american,"['onions', 'pork', 'garlic', 'salt', 'water', 'thyme', 'vinegar']"
26498,italian,"['lemon', 'salt', 'sugar', 'flour', 'eggs']"
27140,japanese,"['seaweed', 'wasabi', 'pepper', 'salt', 'sugar', 'shrimp', 'sauce', 'rice', 'cucumber', 'avocado', 'seeds']"
32353,italian,"['basil', 'oregano', 'broccoli', 'rum', 'almonds', 'pepper', 'salt', 'cheese']"
37070,mexican,"['cilantro', 'seasoning', 'chicken', 'tequila', 'gari', 'lime', 'oil', 'arugula']"
2298,mexican,"['oregano', 'pepper', 'garlic', 'salt', 'onion', 'paprika', 'cumin', 'chili']"
15291,american,"['crust', 'salt', 'sugar', 'water', 'vanilla', 'grits', 'butter', 'corn', 'eggs']"
8274,american,"['shortening', 'mint', 'salt', 'sugar', 'whiskey', 'buttermilk', 'water', 'lime', 'yeast', 'butter', 'soda', 'flour', 'blackberries']"
23521,italian,"['potatoes', 'flour', 'eggs']"
8791,italian,"['basil', 'tomatoes', 'eggplant', 'cheese', 'chicken', 'pitas']"
242,korean,"['rib', 'pepper', 'lettuce', 'gingerroot', 'sugar', 'sauce', 'garlic', 'onions', 'mirin', 'rice', 'oil', 'seeds']"
15347,american,"['okra', 'tomatoes', 'coriander', 'pepper', 'garlic', 'onion', 'salt', 'water', 'cumin', 'parsley', 'oil']"
20981,indian,"['potatoes', 'peas', 'cilantro', 'lemon', 'coriander', 'shallots', 'pepper', 'salt', 'garlic', 'paprika', 'cream', 'tumeric', 'cumin', 'beans']"
39391,italian,"['asparagus', 'dill', 'pepper', 'onions', 'salt', 'trout', 'cheese', 'milk', 'oil', 'eggs']"
23147,indian,"['tumeric', 'chili', 'ghee', 'cinnamon', 'lemon', 'garlic', 'onion', 'paprika', 'fenugreek', 'cumin', 'chicken', 'coriander', 'pepper', 'salt', 'sugar', 'milk', 'ginger', 'cardamom']"
